iter	Passed	Remaining
0	65	65400
1	123	61862
2	190	63390
3	246	61308
4	302	60161
5	362	59974
6	418	59325
7	492	61104
8	549	60491
9	605	59963
10	662	59590
11	716	58995
12	783	59468
13	840	59207
14	916	60199
15	987	60755
16	1045	60451
17	1109	60510
18	1174	60643
19	1230	60304
20	1297	60497
21	1364	60660
22	1429	60743
23	1488	60517
24	1559	60804
25	1625	60876
26	1681	60606
27	1739	60376
28	1805	60441
29	1871	60507
30	1935	60496
31	2000	60516
32	2065	60526
33	2125	60392
34	2182	60187
35	2248	60203
36	2314	60233
37	2379	60242
38	2438	60084
39	2502	60068
40	2563	59970
41	2637	60164
42	2693	59953
43	2749	59742
44	2815	59758
45	2884	59812
46	2979	60423
47	3052	60548
48	3116	60479
49	3181	60451
50	3243	60350
51	3308	60309
52	3363	60098
53	3427	60042
54	3492	60003
55	3558	59985
56	3613	59784
57	3692	59963
58	3757	59923
59	3823	59899
60	3891	59898
61	3946	59710
62	4000	59497
63	4056	59331
64	4111	59145
65	4176	59097
66	4235	58981
67	4291	58817
68	4358	58812
69	4424	58782
70	4481	58641
71	4547	58611
72	4614	58592
73	4679	58561
74	4757	58677
75	4824	58660
76	4894	58670
77	4958	58612
78	5025	58586
79	5092	58568
80	5155	58488
81	5216	58402
82	5282	58366
83	5341	58243
84	5404	58179
85	5458	58012
86	5525	57981
87	5581	57847
88	5668	58020
89	5733	57972
90	5799	57930
91	5871	57951
92	5939	57924
93	6006	57894
94	6059	57725
95	6112	57562
96	6177	57510
97	6243	57468
98	6303	57370
99	6369	57329
100	6435	57280
101	6501	57238
102	6565	57179
103	6629	57119
104	6695	57068
105	6750	56935
106	6806	56808
107	6890	56914
108	6957	56871
109	7025	56844
110	7090	56790
111	7147	56665
112	7210	56602
113	7275	56548
114	7341	56495
115	7393	56339
116	7456	56271
117	7519	56207
118	7588	56184
119	7654	56133
120	7720	56087
121	7784	56024
122	7841	55911
123	7913	55903
124	7973	55817
125	8040	55770
126	8105	55718
127	8166	55635
128	8232	55588
129	8317	55663
130	8384	55618
131	8447	55550
132	8514	55501
133	8574	55416
134	8629	55295
135	8692	55221
136	8751	55129
137	8817	55076
138	8879	55000
139	8948	54970
140	9019	54947
141	9083	54886
142	9150	54839
143	9215	54781
144	9281	54726
145	9346	54668
146	9411	54612
147	9476	54555
148	9542	54500
149	9606	54436
150	9673	54386
151	9736	54317
